"date","borough","community_district","count","borough_code","BoroCD","case_count","death_count"
2020-04-30,"Queens",10,266,4,"410",109297,12713
2020-04-30,"Queens",11,34,4,"411",109297,12713
2020-04-30,"Queens",12,1671,4,"412",109297,12713
2020-04-30,"Queens",13,666,4,"413",109297,12713
2020-04-30,"Queens",14,1049,4,"414",109297,12713
2020-04-30,"Queens",82,1797,4,"482",109297,12713
2020-04-30,"Staten Island",1,895,5,"501",109297,12713
2020-04-30,"Staten Island",2,73,5,"502",109297,12713
2020-04-30,"Staten Island",3,56,5,"503",109297,12713
2020-04-30,"Staten Island",95,152,5,"595",109297,12713
2020-05-31,"Bronx",1,1925,2,"201",28419,2819
2020-05-31,"Bronx",2,916,2,"202",28419,2819
2020-05-31,"Bronx",3,1900,2,"203",28419,2819
2020-05-31,"Bronx",4,2060,2,"204",28419,2819
2020-05-31,"Bronx",5,1891,2,"205",28419,2819
2020-05-31,"Bronx",6,1480,2,"206",28419,2819
2020-05-31,"Bronx",7,1283,2,"207",28419,2819
2020-05-31,"Bronx",8,286,2,"208",28419,2819
2020-05-31,"Bronx",9,1764,2,"209",28419,2819
2020-05-31,"Bronx",10,491,2,"210",28419,2819
2020-05-31,"Bronx",11,661,2,"211",28419,2819
2020-05-31,"Bronx",12,1862,2,"212",28419,2819
2020-05-31,"Bronx",26,2963,2,"226",28419,2819
2020-05-31,"Brooklyn",1,410,3,"301",28419,2819
2020-05-31,"Brooklyn",2,426,3,"302",28419,2819
2020-05-31,"Brooklyn",3,1580,3,"303",28419,2819
2020-05-31,"Brooklyn",4,662,3,"304",28419,2819
2020-05-31,"Brooklyn",5,2362,3,"305",28419,2819
2020-05-31,"Brooklyn",6,261,3,"306",28419,2819
2020-05-31,"Brooklyn",7,202,3,"307",28419,2819
2020-05-31,"Brooklyn",8,744,3,"308",28419,2819
2020-05-31,"Brooklyn",9,557,3,"309",28419,2819
2020-05-31,"Brooklyn",10,121,3,"310",28419,2819
2020-05-31,"Brooklyn",11,188,3,"311",28419,2819
2020-05-31,"Brooklyn",12,150,3,"312",28419,2819
2020-05-31,"Brooklyn",13,430,3,"313",28419,2819
2020-05-31,"Brooklyn",14,456,3,"314",28419,2819
2020-05-31,"Brooklyn",15,169,3,"315",28419,2819
2020-05-31,"Brooklyn",16,1556,3,"316",28419,2819
2020-05-31,"Brooklyn",17,1165,3,"317",28419,2819
2020-05-31,"Brooklyn",18,741,3,"318",28419,2819
2020-05-31,"Brooklyn",55,2287,3,"355",28419,2819
2020-05-31,"Manhattan",1,509,1,"101",28419,2819
2020-05-31,"Manhattan",2,44,1,"102",28419,2819
2020-05-31,"Manhattan",3,591,1,"103",28419,2819
2020-05-31,"Manhattan",4,300,1,"104",28419,2819
2020-05-31,"Manhattan",5,145,1,"105",28419,2819
2020-05-31,"Manhattan",6,139,1,"106",28419,2819
2020-05-31,"Manhattan",7,318,1,"107",28419,2819
2020-05-31,"Manhattan",8,111,1,"108",28419,2819
2020-05-31,"Manhattan",9,667,1,"109",28419,2819
2020-05-31,"Manhattan",10,1347,1,"110",28419,2819
2020-05-31,"Manhattan",11,1303,1,"111",28419,2819
2020-05-31,"Manhattan",12,673,1,"112",28419,2819
2020-05-31,"Manhattan",16,3087,1,"116",28419,2819
2020-05-31,"Queens",1,725,4,"401",28419,2819
2020-05-31,"Queens",2,356,4,"402",28419,2819
2020-05-31,"Queens",3,291,4,"403",28419,2819
2020-05-31,"Queens",4,215,4,"404",28419,2819
2020-05-31,"Queens",5,209,4,"405",28419,2819
2020-05-31,"Queens",6,69,4,"406",28419,2819
2020-05-31,"Queens",7,192,4,"407",28419,2819
2020-05-31,"Queens",8,276,4,"408",28419,2819
2020-05-31,"Queens",9,298,4,"409",28419,2819
2020-05-31,"Queens",10,247,4,"410",28419,2819
2020-05-31,"Queens",11,34,4,"411",28419,2819
2020-05-31,"Queens",12,1610,4,"412",28419,2819
2020-05-31,"Queens",13,659,4,"413",28419,2819
2020-05-31,"Queens",14,1006,4,"414",28419,2819
2020-05-31,"Queens",82,1783,4,"482",28419,2819
2020-05-31,"Staten Island",1,818,5,"501",28419,2819
2020-05-31,"Staten Island",2,81,5,"502",28419,2819
2020-05-31,"Staten Island",3,50,5,"503",28419,2819
2020-05-31,"Staten Island",95,154,5,"595",28419,2819
2020-06-30,"Bronx",1,1870,2,"201",10845,679
2020-06-30,"Bronx",2,905,2,"202",10845,679
2020-06-30,"Bronx",3,1860,2,"203",10845,679
2020-06-30,"Bronx",4,2063,2,"204",10845,679
2020-06-30,"Bronx",5,1845,2,"205",10845,679
2020-06-30,"Bronx",6,1470,2,"206",10845,679
2020-06-30,"Bronx",7,1247,2,"207",10845,679
2020-06-30,"Bronx",8,281,2,"208",10845,679
2020-06-30,"Bronx",9,1713,2,"209",10845,679
2020-06-30,"Bronx",10,483,2,"210",10845,679
2020-06-30,"Bronx",11,671,2,"211",10845,679
2020-06-30,"Bronx",12,1803,2,"212",10845,679
2020-06-30,"Bronx",26,2990,2,"226",10845,679
2020-06-30,"Brooklyn",1,397,3,"301",10845,679
2020-06-30,"Brooklyn",2,410,3,"302",10845,679
2020-06-30,"Brooklyn",3,1544,3,"303",10845,679
2020-06-30,"Brooklyn",4,645,3,"304",10845,679
2020-06-30,"Brooklyn",5,2288,3,"305",10845,679
2020-06-30,"Brooklyn",6,269,3,"306",10845,679
2020-06-30,"Brooklyn",7,201,3,"307",10845,679
2020-06-30,"Brooklyn",8,726,3,"308",10845,679
2020-06-30,"Brooklyn",9,553,3,"309",10845,679
2020-06-30,"Brooklyn",10,111,3,"310",10845,679
2020-06-30,"Brooklyn",11,183,3,"311",10845,679
2020-06-30,"Brooklyn",12,146,3,"312",10845,679
2020-06-30,"Brooklyn",13,409,3,"313",10845,679
2020-06-30,"Brooklyn",14,461,3,"314",10845,679
2020-06-30,"Brooklyn",15,165,3,"315",10845,679
2020-06-30,"Brooklyn",16,1569,3,"316",10845,679
2020-06-30,"Brooklyn",17,1106,3,"317",10845,679
2020-06-30,"Brooklyn",18,733,3,"318",10845,679
2020-06-30,"Brooklyn",55,2315,3,"355",10845,679
2020-06-30,"Manhattan",1,513,1,"101",10845,679
2020-06-30,"Manhattan",2,41,1,"102",10845,679
2020-06-30,"Manhattan",3,580,1,"103",10845,679
2020-06-30,"Manhattan",4,296,1,"104",10845,679
2020-06-30,"Manhattan",5,145,1,"105",10845,679
2020-06-30,"Manhattan",6,147,1,"106",10845,679
2020-06-30,"Manhattan",7,303,1,"107",10845,679
2020-06-30,"Manhattan",8,109,1,"108",10845,679
2020-06-30,"Manhattan",9,656,1,"109",10845,679
2020-06-30,"Manhattan",10,1334,1,"110",10845,679
2020-06-30,"Manhattan",11,1307,1,"111",10845,679
2020-06-30,"Manhattan",12,647,1,"112",10845,679
2020-06-30,"Manhattan",16,3187,1,"116",10845,679
2020-06-30,"Queens",1,713,4,"401",10845,679
2020-06-30,"Queens",2,361,4,"402",10845,679
2020-06-30,"Queens",3,290,4,"403",10845,679
2020-06-30,"Queens",4,209,4,"404",10845,679
2020-06-30,"Queens",5,200,4,"405",10845,679
2020-06-30,"Queens",6,67,4,"406",10845,679
2020-06-30,"Queens",7,187,4,"407",10845,679
2020-06-30,"Queens",8,280,4,"408",10845,679
2020-06-30,"Queens",9,286,4,"409",10845,679
2020-06-30,"Queens",10,243,4,"410",10845,679
2020-06-30,"Queens",11,27,4,"411",10845,679
2020-06-30,"Queens",12,1590,4,"412",10845,679
2020-06-30,"Queens",13,656,4,"413",10845,679
2020-06-30,"Queens",14,964,4,"414",10845,679
2020-06-30,"Queens",82,1775,4,"482",10845,679
2020-06-30,"Staten Island",1,776,5,"501",10845,679
2020-06-30,"Staten Island",2,73,5,"502",10845,679
2020-06-30,"Staten Island",3,53,5,"503",10845,679
2020-06-30,"Staten Island",95,149,5,"595",10845,679
2020-07-31,"Bronx",1,1926,2,"201",9786,239
2020-07-31,"Bronx",2,912,2,"202",9786,239
2020-07-31,"Bronx",3,1810,2,"203",9786,239
2020-07-31,"Bronx",4,2053,2,"204",9786,239
2020-07-31,"Bronx",5,1859,2,"205",9786,239
2020-07-31,"Bronx",6,1460,2,"206",9786,239
2020-07-31,"Bronx",7,1225,2,"207",9786,239
2020-07-31,"Bronx",8,283,2,"208",9786,239
2020-07-31,"Bronx",9,1716,2,"209",9786,239
2020-07-31,"Bronx",10,474,2,"210",9786,239
2020-07-31,"Bronx",11,674,2,"211",9786,239
2020-07-31,"Bronx",12,1791,2,"212",9786,239
2020-07-31,"Bronx",26,2989,2,"226",9786,239
2020-07-31,"Brooklyn",1,385,3,"301",9786,239
2020-07-31,"Brooklyn",2,418,3,"302",9786,239
2020-07-31,"Brooklyn",3,1568,3,"303",9786,239
2020-07-31,"Brooklyn",4,658,3,"304",9786,239
2020-07-31,"Brooklyn",5,2180,3,"305",9786,239
2020-07-31,"Brooklyn",6,275,3,"306",9786,239
2020-07-31,"Brooklyn",7,191,3,"307",9786,239
2020-07-31,"Brooklyn",8,705,3,"308",9786,239
2020-07-31,"Brooklyn",9,551,3,"309",9786,239
2020-07-31,"Brooklyn",10,121,3,"310",9786,239
2020-07-31,"Brooklyn",11,183,3,"311",9786,239
2020-07-31,"Brooklyn",12,139,3,"312",9786,239
2020-07-31,"Brooklyn",13,414,3,"313",9786,239
2020-07-31,"Brooklyn",14,453,3,"314",9786,239
2020-07-31,"Brooklyn",15,152,3,"315",9786,239
2020-07-31,"Brooklyn",16,1494,3,"316",9786,239
2020-07-31,"Brooklyn",17,1078,3,"317",9786,239
2020-07-31,"Brooklyn",18,743,3,"318",9786,239
2020-07-31,"Brooklyn",55,2297,3,"355",9786,239
2020-07-31,"Manhattan",1,504,1,"101",9786,239
2020-07-31,"Manhattan",2,41,1,"102",9786,239
2020-07-31,"Manhattan",3,532,1,"103",9786,239
2020-07-31,"Manhattan",4,304,1,"104",9786,239
2020-07-31,"Manhattan",5,138,1,"105",9786,239
2020-07-31,"Manhattan",6,139,1,"106",9786,239
2020-07-31,"Manhattan",7,303,1,"107",9786,239
2020-07-31,"Manhattan",8,109,1,"108",9786,239
2020-07-31,"Manhattan",9,653,1,"109",9786,239
2020-07-31,"Manhattan",10,1325,1,"110",9786,239
2020-07-31,"Manhattan",11,1301,1,"111",9786,239
2020-07-31,"Manhattan",12,638,1,"112",9786,239
2020-07-31,"Manhattan",16,3143,1,"116",9786,239
2020-07-31,"Queens",1,704,4,"401",9786,239
2020-07-31,"Queens",2,356,4,"402",9786,239
2020-07-31,"Queens",3,283,4,"403",9786,239
2020-07-31,"Queens",4,184,4,"404",9786,239
2020-07-31,"Queens",5,190,4,"405",9786,239
2020-07-31,"Queens",6,66,4,"406",9786,239
2020-07-31,"Queens",7,189,4,"407",9786,239
2020-07-31,"Queens",8,273,4,"408",9786,239
2020-07-31,"Queens",9,304,4,"409",9786,239
2020-07-31,"Queens",10,242,4,"410",9786,239
2020-07-31,"Queens",11,25,4,"411",9786,239
2020-07-31,"Queens",12,1580,4,"412",9786,239
2020-07-31,"Queens",13,639,4,"413",9786,239
2020-07-31,"Queens",14,984,4,"414",9786,239
2020-07-31,"Queens",82,1742,4,"482",9786,239
2020-07-31,"Staten Island",1,753,5,"501",9786,239
2020-07-31,"Staten Island",2,72,5,"502",9786,239
2020-07-31,"Staten Island",3,45,5,"503",9786,239
2020-07-31,"Staten Island",95,138,5,"595",9786,239
2020-08-31,"Bronx",1,1903,2,"201",7446,113
2020-08-31,"Bronx",2,877,2,"202",7446,113
2020-08-31,"Bronx",3,1857,2,"203",7446,113
2020-08-31,"Bronx",4,2018,2,"204",7446,113
2020-08-31,"Bronx",5,1807,2,"205",7446,113
2020-08-31,"Bronx",6,1457,2,"206",7446,113
2020-08-31,"Bronx",7,1224,2,"207",7446,113
2020-08-31,"Bronx",8,279,2,"208",7446,113
2020-08-31,"Bronx",9,1718,2,"209",7446,113
2020-08-31,"Bronx",10,482,2,"210",7446,113
2020-08-31,"Bronx",11,653,2,"211",7446,113
2020-08-31,"Bronx",12,1766,2,"212",7446,113
2020-08-31,"Bronx",26,2991,2,"226",7446,113
2020-08-31,"Brooklyn",1,360,3,"301",7446,113
2020-08-31,"Brooklyn",2,405,3,"302",7446,113
2020-08-31,"Brooklyn",3,1545,3,"303",7446,113
2020-08-31,"Brooklyn",4,641,3,"304",7446,113
2020-08-31,"Brooklyn",5,2122,3,"305",7446,113
2020-08-31,"Brooklyn",6,257,3,"306",7446,113
2020-08-31,"Brooklyn",7,173,3,"307",7446,113
2020-08-31,"Brooklyn",8,699,3,"308",7446,113
2020-08-31,"Brooklyn",9,572,3,"309",7446,113
2020-08-31,"Brooklyn",10,119,3,"310",7446,113
2020-08-31,"Brooklyn",11,181,3,"311",7446,113
2020-08-31,"Brooklyn",12,142,3,"312",7446,113
2020-08-31,"Brooklyn",13,407,3,"313",7446,113
2020-08-31,"Brooklyn",14,472,3,"314",7446,113
2020-08-31,"Brooklyn",15,149,3,"315",7446,113
2020-08-31,"Brooklyn",16,1489,3,"316",7446,113
2020-08-31,"Brooklyn",17,1083,3,"317",7446,113
2020-08-31,"Brooklyn",18,771,3,"318",7446,113
2020-08-31,"Brooklyn",55,2290,3,"355",7446,113
2020-08-31,"Manhattan",1,516,1,"101",7446,113
2020-08-31,"Manhattan",2,36,1,"102",7446,113
2020-08-31,"Manhattan",3,544,1,"103",7446,113
2020-08-31,"Manhattan",4,304,1,"104",7446,113
2020-08-31,"Manhattan",5,135,1,"105",7446,113
2020-08-31,"Manhattan",6,143,1,"106",7446,113
2020-08-31,"Manhattan",7,312,1,"107",7446,113
2020-08-31,"Manhattan",8,104,1,"108",7446,113
2020-08-31,"Manhattan",9,646,1,"109",7446,113
2020-08-31,"Manhattan",10,1305,1,"110",7446,113
2020-08-31,"Manhattan",11,1310,1,"111",7446,113
2020-08-31,"Manhattan",12,633,1,"112",7446,113
2020-08-31,"Manhattan",16,3145,1,"116",7446,113
2020-08-31,"Queens",1,710,4,"401",7446,113
2020-08-31,"Queens",2,363,4,"402",7446,113
2020-08-31,"Queens",3,290,4,"403",7446,113
2020-08-31,"Queens",4,182,4,"404",7446,113
2020-08-31,"Queens",5,195,4,"405",7446,113
2020-08-31,"Queens",6,77,4,"406",7446,113
2020-08-31,"Queens",7,187,4,"407",7446,113
2020-08-31,"Queens",8,267,4,"408",7446,113
2020-08-31,"Queens",9,294,4,"409",7446,113
2020-08-31,"Queens",10,241,4,"410",7446,113
2020-08-31,"Queens",11,28,4,"411",7446,113
2020-08-31,"Queens",12,1530,4,"412",7446,113
2020-08-31,"Queens",13,626,4,"413",7446,113
2020-08-31,"Queens",14,952,4,"414",7446,113
2020-08-31,"Queens",82,1755,4,"482",7446,113
2020-08-31,"Staten Island",1,749,5,"501",7446,113
2020-08-31,"Staten Island",2,82,5,"502",7446,113
2020-08-31,"Staten Island",3,49,5,"503",7446,113
2020-08-31,"Staten Island",95,132,5,"595",7446,113
2020-09-30,"Bronx",1,1895,2,"201",11100,119
2020-09-30,"Bronx",2,894,2,"202",11100,119
2020-09-30,"Bronx",3,1874,2,"203",11100,119
2020-09-30,"Bronx",4,1987,2,"204",11100,119
2020-09-30,"Bronx",5,1797,2,"205",11100,119
2020-09-30,"Bronx",6,1469,2,"206",11100,119
2020-09-30,"Bronx",7,1236,2,"207",11100,119
2020-09-30,"Bronx",8,280,2,"208",11100,119
2020-09-30,"Bronx",9,1721,2,"209",11100,119
2020-09-30,"Bronx",10,475,2,"210",11100,119
2020-09-30,"Bronx",11,648,2,"211",11100,119
2020-09-30,"Bronx",12,1738,2,"212",11100,119
2020-09-30,"Bronx",26,2979,2,"226",11100,119
2020-09-30,"Brooklyn",1,352,3,"301",11100,119
2020-09-30,"Brooklyn",2,405,3,"302",11100,119
2020-09-30,"Brooklyn",3,1514,3,"303",11100,119
2020-09-30,"Brooklyn",4,614,3,"304",11100,119
2020-09-30,"Brooklyn",5,2067,3,"305",11100,119
2020-09-30,"Brooklyn",6,270,3,"306",11100,119
2020-09-30,"Brooklyn",7,172,3,"307",11100,119
2020-09-30,"Brooklyn",8,710,3,"308",11100,119
2020-09-30,"Brooklyn",9,557,3,"309",11100,119
2020-09-30,"Brooklyn",10,116,3,"310",11100,119
2020-09-30,"Brooklyn",11,174,3,"311",11100,119
2020-09-30,"Brooklyn",12,144,3,"312",11100,119
2020-09-30,"Brooklyn",13,419,3,"313",11100,119
2020-09-30,"Brooklyn",14,438,3,"314",11100,119
2020-09-30,"Brooklyn",15,145,3,"315",11100,119
2020-09-30,"Brooklyn",16,1420,3,"316",11100,119
2020-09-30,"Brooklyn",17,1051,3,"317",11100,119
2020-09-30,"Brooklyn",18,731,3,"318",11100,119
2020-09-30,"Brooklyn",55,2311,3,"355",11100,119
2020-09-30,"Manhattan",1,515,1,"101",11100,119
2020-09-30,"Manhattan",2,37,1,"102",11100,119
2020-09-30,"Manhattan",3,520,1,"103",11100,119
2020-09-30,"Manhattan",4,305,1,"104",11100,119
2020-09-30,"Manhattan",5,147,1,"105",11100,119
2020-09-30,"Manhattan",6,139,1,"106",11100,119
2020-09-30,"Manhattan",7,319,1,"107",11100,119
2020-09-30,"Manhattan",8,104,1,"108",11100,119
2020-09-30,"Manhattan",9,600,1,"109",11100,119
2020-09-30,"Manhattan",10,1290,1,"110",11100,119
2020-09-30,"Manhattan",11,1311,1,"111",11100,119
2020-09-30,"Manhattan",12,607,1,"112",11100,119
2020-09-30,"Manhattan",16,3222,1,"116",11100,119
2020-09-30,"Queens",1,721,4,"401",11100,119
2020-09-30,"Queens",2,349,4,"402",11100,119
2020-09-30,"Queens",3,282,4,"403",11100,119
2020-09-30,"Queens",4,185,4,"404",11100,119
2020-09-30,"Queens",5,194,4,"405",11100,119
2020-09-30,"Queens",6,78,4,"406",11100,119
2020-09-30,"Queens",7,195,4,"407",11100,119
2020-09-30,"Queens",8,272,4,"408",11100,119
2020-09-30,"Queens",9,276,4,"409",11100,119
2020-09-30,"Queens",10,250,4,"410",11100,119
2020-09-30,"Queens",11,24,4,"411",11100,119
2020-09-30,"Queens",12,1528,4,"412",11100,119
2020-09-30,"Queens",13,603,4,"413",11100,119
2020-09-30,"Queens",14,963,4,"414",11100,119
2020-09-30,"Queens",82,1693,4,"482",11100,119
2020-09-30,"Staten Island",1,730,5,"501",11100,119
2020-09-30,"Staten Island",2,87,5,"502",11100,119
2020-09-30,"Staten Island",3,47,5,"503",11100,119
2020-09-30,"Staten Island",95,131,5,"595",11100,119
2020-10-31,"Bronx",1,1887,2,"201",16926,158
2020-10-31,"Bronx",2,888,2,"202",16926,158
2020-10-31,"Bronx",3,1842,2,"203",16926,158
2020-10-31,"Bronx",4,1986,2,"204",16926,158
2020-10-31,"Bronx",5,1801,2,"205",16926,158
2020-10-31,"Bronx",6,1486,2,"206",16926,158
2020-10-31,"Bronx",7,1192,2,"207",16926,158
2020-10-31,"Bronx",8,286,2,"208",16926,158
2020-10-31,"Bronx",9,1714,2,"209",16926,158
2020-10-31,"Bronx",10,467,2,"210",16926,158
2020-10-31,"Bronx",11,659,2,"211",16926,158
2020-10-31,"Bronx",12,1743,2,"212",16926,158
2020-10-31,"Bronx",26,3087,2,"226",16926,158
2020-10-31,"Brooklyn",1,341,3,"301",16926,158
2020-10-31,"Brooklyn",2,365,3,"302",16926,158
2020-10-31,"Brooklyn",3,1505,3,"303",16926,158
2020-10-31,"Brooklyn",4,602,3,"304",16926,158
2020-10-31,"Brooklyn",5,2041,3,"305",16926,158
2020-10-31,"Brooklyn",6,259,3,"306",16926,158
2020-10-31,"Brooklyn",7,175,3,"307",16926,158
2020-10-31,"Brooklyn",8,712,3,"308",16926,158
2020-10-31,"Brooklyn",9,561,3,"309",16926,158
2020-10-31,"Brooklyn",10,110,3,"310",16926,158
2020-10-31,"Brooklyn",11,171,3,"311",16926,158
2020-10-31,"Brooklyn",12,140,3,"312",16926,158
2020-10-31,"Brooklyn",13,399,3,"313",16926,158
2020-10-31,"Brooklyn",14,417,3,"314",16926,158
2020-10-31,"Brooklyn",15,137,3,"315",16926,158
2020-10-31,"Brooklyn",16,1464,3,"316",16926,158
2020-10-31,"Brooklyn",17,1094,3,"317",16926,158
2020-10-31,"Brooklyn",18,724,3,"318",16926,158
2020-10-31,"Brooklyn",55,2320,3,"355",16926,158
2020-10-31,"Manhattan",1,522,1,"101",16926,158
2020-10-31,"Manhattan",2,35,1,"102",16926,158
2020-10-31,"Manhattan",3,512,1,"103",16926,158
2020-10-31,"Manhattan",4,299,1,"104",16926,158
2020-10-31,"Manhattan",5,157,1,"105",16926,158
2020-10-31,"Manhattan",6,141,1,"106",16926,158
2020-10-31,"Manhattan",7,327,1,"107",16926,158
2020-10-31,"Manhattan",8,106,1,"108",16926,158
2020-10-31,"Manhattan",9,587,1,"109",16926,158
2020-10-31,"Manhattan",10,1294,1,"110",16926,158
2020-10-31,"Manhattan",11,1294,1,"111",16926,158
